movie,year,imdb,metascore,votes
Logan,2017,8.1,77,827K
Thor: Ragnarok,2017,7.9,74,813K
Guardians of the Galaxy Vol. 2,2017,7.6,67,756K
Dunkirk,2017,7.8,94,736K
Spider-Man: Homecoming,2017,7.4,73,716K
Wonder Woman,2017,7.3,76,698K
Get Out,2017,7.8,85,691K
Star Wars: Episode VIII - The Last Jedi,2017,6.9,84,670K
Blade Runner 2049,2017,8.0,81,658K
 Baby Driver,2017,7.5,86,605K
 It,2017,7.3,69,603K
 Coco,2017,8.4,81,586K
" Three Billboards Outside Ebbing, Missouri",2017,8.1,88,553K
 Money Heist,2017–2021,8.2,0,529K
 John Wick: Chapter 2,2017,7.4,75,509K
 Justice League,2017,6.1,45,477K
 The Shape of Water,2017,7.3,87,446K
 Dark,2017–2020,8.7,0,440K
 Jumanji: Welcome to the Jungle,2017,6.9,58,436K
 Kingsman: The Golden Circle,2017,6.7,44,361K
 Kong: Skull Island,2017,6.7,62,345K
 Ozark,2017–2022,8.5,0,344K
 Pirates of the Caribbean: Salazar's Revenge,2017,6.5,39,344K
 Beauty and the Beast,2017,7.1,65,333K
 Mindhunter,2017–2019,8.6,0,333K
 Lady Bird,2017,7.4,93,326K
 13 Reasons Why,2017–2020,7.5,0,314K
 Call Me by Your Name,2017,7.8,94,313K
 The Greatest Showman,2017,7.5,48,310K
 Alien: Covenant,2017,6.4,65,302K
 Murder on the Orient Express,2017,6.5,52,295K
 War for the Planet of the Apes,2017,7.4,82,280K
 Wind River,2017,7.7,73,279K
 The Punisher,2017–2019,8.4,0,263K
 The Handmaid's Tale,2017– ,8.4,0,257K
 Fast & Furious 8,2017,6.6,56,253K
 Life,2017,6.6,54,252K
 Mother!,2017,6.6,76,249K
 The Hitman's Bodyguard,2017,6.9,47,246K
" I, Tonya",2017,7.5,77,242K
 King Arthur: Legend of the Sword,2017,6.7,41,232K
 Ghost in the Shell,2017,6.3,52,227K
 Big Little Lies,2017– ,8.4,0,223K
 Darkest Hour,2017,7.4,75,220K
 The End of the F***ing World,2017–2019,8.0,0,218K
 American Made,2017,7.1,65,207K
 Atomic Blonde,2017,6.7,63,206K
 The Mummy,2017,5.4,34,206K
 Baywatch,2017,5.5,37,201K
 Bright,2017,6.3,29,201K
